['LR', 'CART', 'NAIVE', 'SGD'];0.08;nan;-0.14;0.39
['LR', 'CART', 'NAIVE', 'SVC'];0.02;nan;-0.15;0.36
['LR', 'CART', 'NAIVE', 'MLP'];0.02;nan;-0.03;0.33
['LR', 'CART', 'NAIVE', 'EXTRA'];0.0;nan;-0.15;0.31
['LR', 'CART', 'KNN', 'SGD'];0.01;nan;-0.07;0.32
['LR', 'CART', 'KNN', 'SVC'];0.03;nan;0.43;0.12
['LR', 'CART', 'KNN', 'MLP'];0.01;nan;0.26;0.14
['LR', 'CART', 'KNN', 'EXTRA'];0.0;nan;0.13;0.08
['LR', 'CART', 'SGD', 'SVC'];0.02;nan;-0.15;0.36
['LR', 'CART', 'SGD', 'MLP'];0.02;nan;-0.03;0.33
['LR', 'CART', 'SGD', 'EXTRA'];0.0;nan;-0.15;0.31
['LR', 'CART', 'SVC', 'MLP'];0.03;nan;0.12;0.17
['LR', 'CART', 'SVC', 'EXTRA'];0.02;nan;0.16;0.12
['LR', 'CART', 'MLP', 'EXTRA'];0.0;nan;-0.01;0.13
['LR', 'NAIVE', 'KNN', 'SGD'];0.09;0.07;-0.11;0.39
['LR', 'NAIVE', 'KNN', 'SVC'];0.03;0.06;0.06;0.36
['LR', 'NAIVE', 'KNN', 'MLP'];0.03;0.06;0.18;0.33
['LR', 'NAIVE', 'KNN', 'EXTRA'];0.01;nan;-0.07;0.32
['LR', 'NAIVE', 'SGD', 'SVC'];0.11;0.03;-0.3;0.44
['LR', 'NAIVE', 'SGD', 'MLP'];0.12;0.15;0.12;0.37
['LR', 'NAIVE', 'SGD', 'EXTRA'];0.08;nan;-0.14;0.39
['LR', 'NAIVE', 'SVC', 'MLP'];0.05;0.03;-0.07;0.37
['LR', 'NAIVE', 'SVC', 'EXTRA'];0.02;nan;-0.15;0.36
['LR', 'NAIVE', 'MLP', 'EXTRA'];0.02;nan;-0.03;0.33
['LR', 'KNN', 'SGD', 'SVC'];0.03;0.06;0.06;0.36
