['LR', 'CART', 'NAIVE', 'SGD'];0.08;nan;-0.02;0.4
['LR', 'CART', 'NAIVE', 'SVC'];0.03;nan;-0.14;0.38
['LR', 'CART', 'NAIVE', 'MLP'];0.02;nan;0.02;0.35
['LR', 'CART', 'NAIVE', 'EXTRA'];0.0;nan;-0.14;0.33
['LR', 'CART', 'KNN', 'SGD'];0.02;nan;0.24;0.29
['LR', 'CART', 'KNN', 'SVC'];0.03;nan;0.42;0.14
['LR', 'CART', 'KNN', 'MLP'];0.01;nan;0.39;0.13
['LR', 'CART', 'KNN', 'EXTRA'];0.0;nan;0.14;0.09
['LR', 'CART', 'SGD', 'SVC'];0.05;nan;0.07;0.32
['LR', 'CART', 'SGD', 'MLP'];0.03;nan;0.09;0.31
['LR', 'CART', 'SGD', 'EXTRA'];0.01;nan;-0.03;0.29
['LR', 'CART', 'SVC', 'MLP'];0.04;nan;0.32;0.16
['LR', 'CART', 'SVC', 'EXTRA'];0.03;nan;0.16;0.14
['LR', 'CART', 'MLP', 'EXTRA'];0.01;nan;0.1;0.13
['LR', 'NAIVE', 'KNN', 'SGD'];0.09;0.1;0.24;0.4
['LR', 'NAIVE', 'KNN', 'SVC'];0.04;0.05;0.09;0.38
['LR', 'NAIVE', 'KNN', 'MLP'];0.03;0.08;0.29;0.34
['LR', 'NAIVE', 'KNN', 'EXTRA'];0.01;nan;-0.02;0.33
['LR', 'NAIVE', 'SGD', 'SVC'];0.11;0.06;-0.09;0.43
['LR', 'NAIVE', 'SGD', 'MLP'];0.11;0.1;0.16;0.4
['LR', 'NAIVE', 'SGD', 'EXTRA'];0.08;nan;-0.02;0.4
['LR', 'NAIVE', 'SVC', 'MLP'];0.05;0.06;0.07;0.39
['LR', 'NAIVE', 'SVC', 'EXTRA'];0.03;nan;-0.14;0.38
['LR', 'NAIVE', 'MLP', 'EXTRA'];0.02;nan;0.02;0.35
['LR', 'KNN', 'SGD', 'SVC'];0.06;0.19;0.46;0.31
['LR', 'KNN', 'SGD', 'MLP'];0.04;0.15;0.52;0.3
['LR', 'KNN', 'SGD', 'EXTRA'];0.02;nan;0.24;0.29
['LR', 'KNN', 'SVC', 'MLP'];0.05;0.3;0.72;0.16
['LR', 'KNN', 'SVC', 'EXTRA'];0.03;nan;0.42;0.14
['LR', 'KNN', 'MLP', 'EXTRA'];0.01;nan;0.39;0.13
['LR', 'SGD', 'SVC', 'MLP'];0.07;0.15;0.24;0.33
['LR', 'SGD', 'SVC', 'EXTRA'];0.05;nan;0.07;0.32
['LR', 'SGD', 'MLP', 'EXTRA'];0.03;nan;0.09;0.31
['LR', 'SVC', 'MLP', 'EXTRA'];0.04;nan;0.32;0.16
['CART', 'NAIVE', 'KNN', 'SGD'];0.07;nan;0.27;0.35
['CART', 'NAIVE', 'KNN', 'SVC'];0.01;nan;-0.07;0.36
['CART', 'NAIVE', 'KNN', 'MLP'];0.02;nan;0.19;0.29
['CART', 'NAIVE', 'KNN', 'EXTRA'];0.0;nan;-0.02;0.26
['CART', 'NAIVE', 'SGD', 'SVC'];0.07;nan;-0.08;0.43
['CART', 'NAIVE', 'SGD', 'MLP'];0.09;nan;0.23;0.36
['CART', 'NAIVE', 'SGD', 'EXTRA'];0.06;nan;0.15;0.34
['CART', 'NAIVE', 'SVC', 'MLP'];0.02;nan;-0.06;0.37
['CART', 'NAIVE', 'SVC', 'EXTRA'];0.0;nan;-0.17;0.35
['CART', 'NAIVE', 'MLP', 'EXTRA'];0.01;nan;0.06;0.28
['CART', 'KNN', 'SGD', 'SVC'];0.02;nan;0.19;0.3
['CART', 'KNN', 'SGD', 'MLP'];0.02;nan;0.31;0.26
['CART', 'KNN', 'SGD', 'EXTRA'];0.0;nan;0.14;0.23
['CART', 'KNN', 'SVC', 'MLP'];0.01;nan;0.32;0.15
['CART', 'KNN', 'SVC', 'EXTRA'];0.0;nan;0.11;0.11
['CART', 'KNN', 'MLP', 'EXTRA'];0.0;nan;0.15;0.06
['CART', 'SGD', 'SVC', 'MLP'];0.02;nan;0.01;0.33
['CART', 'SGD', 'SVC', 'EXTRA'];0.01;nan;-0.06;0.3
['CART', 'SGD', 'MLP', 'EXTRA'];0.01;nan;0.02;0.26
['CART', 'SVC', 'MLP', 'EXTRA'];0.01;nan;0.05;0.15
['NAIVE', 'KNN', 'SGD', 'SVC'];0.08;0.05;0.15;0.42
